2026-05-19 12:04:16 | INFO     | pytest | Starting browser: edge
2026-05-19 12:04:19 | INFO     | e2e | Opening home page for end-to-end flow: https://www.99acres.com/
2026-05-19 12:04:25 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_01_home_page_opened_20260519_120425.png
2026-05-19 12:04:25 | INFO     | e2e | Opening login popup from home page.
2026-05-19 12:04:26 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_02_login_popup_opened_20260519_120426.png
2026-05-19 12:04:26 | INFO     | e2e | Entering mobile number and pausing for manual OTP entry.
2026-05-19 12:05:36 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_03_after_manual_otp_pause_20260519_120536.png
2026-05-19 12:05:36 | INFO     | e2e | Searching properties for location: Mumbai
2026-05-19 12:05:41 | INFO     | e2e | Captured E2E step screenshot: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\e2e_04_mumbai_results_loaded_20260519_120539.png
2026-05-19 12:06:35 | ERROR    | pytest | Test failed. Screenshot saved: C:\Users\bkavi\OneDrive\Desktop\Wipro Project\screenshots\tests_test_e2e_99acres.py_Test99AcresEndToEnd_test_login_search_and_filter_mumbai_properties_20260519_120634.png
2026-05-19 12:06:35 | INFO     | pytest | Closing browser after complete test session
